codigo_ibge,anomes_s,qtd_familias_beneficiarias_bolsa_familia_s,valor_repassado_bolsa_familia_s,pbf_vlr_medio_benef_f
310950,202406,712,450873.0,633.25
310960,202406,226,146962.0,650.27
310970,202406,447,305529.0,685.04
310980,202406,138,91113.0,660.24
310990,202406,849,572513.0,674.34
311000,202406,2401,1631292.0,679.99
311010,202406,662,443544.0,670.01
311020,202406,549,360870.0,657.32
311030,202406,948,644134.0,679.47
311040,202406,162,109998.0,679.0
311050,202406,1634,1123379.0,687.5
311060,202406,1532,1004930.0,655.96
311070,202406,1210,803356.0,668.35
311080,202406,580,387278.0,667.72
311090,202406,1148,797719.0,696.7
311100,202406,1042,692094.0,664.84
311110,202406,816,512891.0,629.31
311115,202406,884,583292.0,659.83
311120,202406,3792,2473887.0,653.43
311130,202406,1067,731969.0,687.29
311140,202406,707,490468.0,696.69
311150,202406,844,600468.0,713.14
311160,202406,2073,1379303.0,665.37
311170,202406,707,482122.0,681.93
311180,202406,643,413783.0,644.52
311190,202406,421,276901.0,657.72
311200,202406,1111,714428.0,643.05
311205,202406,575,380656.0,662.01
311210,202406,830,576461.0,694.53
311220,202406,651,424132.0,651.51
311230,202406,3784,2513383.0,664.21
311240,202406,660,449887.0,681.65
311250,202406,776,518457.0,668.11
311260,202406,1003,649135.0,647.19
311265,202406,689,464379.0,673.99
311270,202406,2174,1502807.0,691.26
311280,202406,446,304120.0,681.88
311290,202406,1314,911395.0,694.13
311300,202406,2970,2032324.0,684.75
311310,202406,325,215268.0,662.36
311320,202406,1787,1181536.0,661.92
311330,202406,3169,2115571.0,667.58
311340,202406,5072,3314600.0,654.41
311350,202406,965,626151.0,648.86
311360,202406,516,339768.0,664.91
311370,202406,2126,1401175.0,659.69
311380,202406,256,184400.0,725.98
311390,202406,1010,679860.0,674.46
311400,202406,694,479524.0,690.96
311410,202406,1126,747973.0,665.46
311420,202406,725,474560.0,654.57
311430,202406,1888,1244680.0,659.61
311440,202406,1266,723470.0,571.91
311450,202406,1094,760547.0,695.2
311455,202406,510,341792.0,671.5
311460,202406,185,125976.0,688.39
311470,202406,143,95230.0,665.94
311480,202406,656,429770.0,656.14
311490,202406,152,99546.0,654.91
311500,202406,215,140844.0,655.09
311510,202406,1438,985794.0,685.53
311520,202406,459,307068.0,668.99
311530,202406,3887,2640953.0,679.43
311535,202406,418,276058.0,660.43
311540,202406,412,272831.0,668.7
311545,202406,1418,1001124.0,706.01
311547,202406,1312,867609.0,661.29
311550,202406,1664,1100161.0,662.35
311560,202406,78,55009.0,705.24
311570,202406,704,458290.0,650.98
311580,202406,1029,685311.0,667.29
311590,202406,352,246635.0,700.67
311600,202406,921,638730.0,693.52
311610,202406,1513,1003215.0,663.06
311615,202406,2382,1675005.0,703.19
311620,202406,297,195952.0,659.77
311630,202406,760,484828.0,638.77
311640,202406,402,273964.0,684.91
311650,202406,1092,720412.0,660.32
311660,202406,1287,852159.0,662.64
311670,202406,765,486534.0,635.99
311680,202406,1452,982261.0,676.49
311690,202406,256,163757.0,639.68
311700,202406,1407,925928.0,658.55
311710,202406,742,495679.0,670.74
311720,202406,330,228688.0,692.99
311730,202406,2135,1474160.0,691.12
311740,202406,741,495883.0,669.21
311750,202406,2245,1493900.0,669.61
311760,202406,344,225055.0,656.14
311770,202406,1064,714954.0,671.95
311780,202406,744,493449.0,664.13
311783,202406,1602,1084546.0,677.0
311787,202406,338,201036.0,596.55
311790,202406,766,528996.0,691.5
311800,202406,2347,1578811.0,672.69
311810,202406,728,501622.0,689.04
311820,202406,462,316279.0,684.59
311830,202406,4196,2841747.0,678.55
311840,202406,2462,1678996.0,682.52
311850,202406,237,153315.0,646.9
311860,202406,44587,29472780.0,661.39
311870,202406,879,587516.0,671.45
311880,202406,4066,2769311.0,681.09
311890,202406,1112,733228.0,659.38
311900,202406,424,283098.0,669.26
311910,202406,2820,1916400.0,680.78
311920,202406,1331,890846.0,669.81
311930,202406,2229,1507993.0,676.53
311940,202406,6684,4494382.0,673.11
311950,202406,1323,892254.0,674.42
311960,202406,191,126335.0,661.44
311970,202406,164,100623.0,613.55
311980,202406,153,102778.0,671.75
311990,202406,180,117447.0,652.48
311995,202406,139,90280.0,649.5
312000,202406,466,313503.0,672.75
312010,202406,702,470910.0,670.81
312015,202406,1014,700577.0,690.9
312020,202406,833,558692.0,670.7
312030,202406,1546,1028831.0,665.91
312040,202406,377,253707.0,672.96
312050,202406,686,461150.0,677.17
312060,202406,384,242120.0,630.52
312070,202406,392,277804.0,708.68
312080,202406,1709,1129927.0,661.16
312083,202406,620,415652.0,671.49
312087,202406,1792,1203610.0,672.41
312090,202406,7327,4818101.0,658.12
312100,202406,947,643416.0,680.86
312110,202406,685,468300.0,684.65
312120,202406,452,309241.0,685.68
312125,202406,1132,804832.0,710.98
312130,202406,584,383109.0,656.01
312140,202406,430,256480.0,596.47
312150,202406,352,234469.0,666.11
312160,202406,5048,3320144.0,658.37
312170,202406,515,336413.0,653.23
312180,202406,801,535446.0,668.47
312190,202406,402,263190.0,654.7
312200,202406,2863,1916785.0,669.74
312210,202406,746,501462.0,672.2
312220,202406,1169,798868.0,683.38
312230,202406,9880,6623799.0,670.9
312235,202406,1384,922763.0,666.74
312240,202406,388,256488.0,664.48
312245,202406,2309,1584802.0,686.66
312247,202406,435,293287.0,674.22
312250,202406,302,198479.0,657.22
312260,202406,678,459892.0,678.31
312270,202406,434,282949.0,651.96
312280,202406,275,180071.0,657.19
312290,202406,457,290593.0,635.87
312300,202406,539,361706.0,672.32
312310,202406,633,415106.0,655.78
312320,202406,755,488308.0,647.62
312330,202406,593,395272.0,666.56
312340,202406,116,77618.0,669.12
312350,202406,116,78067.0,672.99
312352,202406,920,671526.0,729.92
312360,202406,1869,1247313.0,668.44
312370,202406,1182,808868.0,684.32
312380,202406,1297,855421.0,659.54
312385,202406,777,533834.0,687.05
312390,202406,790,524651.0,664.12
312400,202406,1489,1011769.0,679.5
312410,202406,9182,6234674.0,679.08
312420,202406,2624,1731693.0,661.46
312430,202406,5247,3479908.0,663.72
312440,202406,636,477206.0,750.32
312450,202406,740,499832.0,677.28
312460,202406,270,187332.0,693.82
312470,202406,142,88010.0,619.79
312480,202406,522,341728.0,654.65
312490,202406,1354,893821.0,660.13
312500,202406,605,404564.0,672.03
312510,202406,1392,864077.0,623.43
312520,202406,205,137719.0,671.8
312530,202406,491,333575.0,679.38
312540,202406,806,541091.0,671.33
312550,202406,442,280769.0,635.22
312560,202406,1199,815124.0,679.84
312570,202406,1487,988553.0,667.04
312580,202406,261,165544.0,639.17
312590,202406,900,581157.0,645.73
312595,202406,1286,885763.0,688.77
312600,202406,417,273713.0,656.39
