ibge,anomes,qtd_familias_beneficiarias_bolsa_familia,valor_repassado_bolsa_familia
410980,200609,1708,89091.0
410990,200609,764,39575.0
411000,200609,202,9083.0
411005,200609,212,12007.0
411007,200609,837,46129.0
411010,200609,1703,90155.0
411020,200609,1013,57599.0
411030,200609,286,11991.0
411040,200609,270,11027.0
411050,200609,909,49720.0
411060,200609,1153,54820.0
411065,200609,195,9934.0
411070,200609,1810,77518.0
411080,200609,1049,58964.0
411090,200609,371,22740.0
411095,200609,342,19316.0
411100,200609,590,37472.0
411110,200609,317,12604.0
411120,200609,620,29574.0
411125,200609,1672,107711.0
411130,200609,382,20509.0
411140,200609,936,54841.0
411150,200609,3155,196310.0
411155,200609,540,25552.0
411160,200609,134,5882.0
411170,200609,319,16412.0
411180,200609,2213,121519.0
411190,200609,555,24574.0
411200,200609,1681,78505.0
411210,200609,1059,49498.0
411220,200609,632,37959.0
411230,200609,402,20541.0
411240,200609,329,13051.0
411250,200609,1383,84727.0
411260,200609,155,9335.0
411270,200609,734,38667.0
411275,200609,777,41402.0
411280,200609,601,26037.0
411290,200609,319,16843.0
411295,200609,660,37098.0
411300,200609,414,24228.0
411310,200609,260,11923.0
411320,200609,2591,141347.0
411325,200609,781,50167.0
411330,200609,2341,133123.0
411340,200609,298,14727.0
411342,200609,444,22831.0
411345,200609,468,24566.0
411350,200609,1118,50343.0
411360,200609,175,7786.0
411370,200609,13968,697044.0
411373,200609,632,34383.0
411375,200609,487,27468.0
411380,200609,322,16108.0
411390,200609,586,28417.0
411400,200609,1206,62797.0
411410,200609,902,45968.0
411420,200609,1775,83461.0
411430,200609,1241,83445.0
411435,200609,334,24507.0
411440,200609,1481,81323.0
411450,200609,1016,70347.0
411460,200609,1532,68051.0
411470,200609,511,18735.0
411480,200609,1419,71585.0
411490,200609,772,35383.0
411500,200609,502,27269.0
411510,200609,964,49536.0
411520,200609,6711,280429.0
411530,200609,360,16997.0
411535,200609,110,4470.0
411540,200609,930,53722.0
411545,200609,528,35691.0
411550,200609,395,14674.0
411560,200609,899,47502.0
411570,200609,1054,58009.0
411573,200609,551,37784.0
411575,200609,500,26906.0
411580,200609,1548,75316.0
411585,200609,185,8250.0
411590,200609,173,8480.0
411600,200609,85,3615.0
411605,200609,640,30455.0
411610,200609,1073,60189.0
411620,200609,856,51138.0
411630,200609,170,7536.0
411640,200609,169,7504.0
411650,200609,89,5188.0
411660,200609,259,15272.0
411670,200609,736,36966.0
411680,200609,855,44556.0
411690,200609,1262,56487.0
411695,200609,367,22462.0
411700,200609,536,29406.0
411705,200609,1038,76667.0
411710,200609,747,34500.0
411720,200609,406,19068.0
411721,200609,382,24287.0
411722,200609,273,11945.0
411725,200609,623,36770.0
411727,200609,1234,80346.0
411729,200609,203,10862.0
411730,200609,2809,159905.0
411740,200609,191,8314.0
411745,200609,392,18991.0
411750,200609,1371,57603.0
411760,200609,2162,115230.0
411770,200609,1800,90888.0
411780,200609,1556,106346.0
411790,200609,986,48343.0
411800,200609,342,12592.0
411810,200609,529,25961.0
411820,200609,4750,282817.0
411830,200609,215,9470.0
411840,200609,3891,184965.0
411845,200609,143,6015.0
411850,200609,2546,156573.0
411860,200609,381,22184.0
411870,200609,435,22273.0
411880,200609,1010,52072.0
411885,200609,421,19109.0
411890,200609,519,21952.0
411900,200609,563,30777.0
411910,200609,518,28369.0
411915,200609,3362,175536.0
411920,200609,521,32528.0
411925,200609,281,18566.0
411930,200609,2354,162507.0
411940,200609,1467,72446.0
411950,200609,3386,212701.0
411960,200609,3019,170300.0
411965,200609,135,5283.0
411970,200609,284,15383.0
411980,200609,1051,63914.0
411990,200609,11561,573907.0
411995,200609,959,54841.0
412000,200609,551,25818.0
412010,200609,191,10852.0
412015,200609,353,24936.0
412020,200609,200,9044.0
412030,200609,223,11248.0
412033,200609,219,9075.0
412035,200609,394,22219.0
412040,200609,251,12881.0
412050,200609,735,34510.0
412060,200609,3817,215285.0
412065,200609,386,18162.0
412070,200609,433,20664.0
412080,200609,566,26706.0
412085,200609,78,3449.0
412090,200609,2019,107512.0
412100,200609,957,50015.0
412110,200609,428,17780.0
412120,200609,1236,75241.0
412125,200609,363,20805.0
412130,200609,288,17267.0
412135,200609,182,8619.0
412140,200609,922,48823.0
412150,200609,1389,84771.0
412160,200609,547,31723.0
412170,200609,2154,123403.0
412175,200609,583,37035.0
412180,200609,718,34958.0
412190,200609,1104,60124.0
412200,200609,963,55230.0
412210,200609,285,13727.0
412215,200609,1308,88652.0
412217,200609,361,22262.0
412220,200609,2379,145678.0
412230,200609,1092,62671.0
412240,200609,1744,81326.0
412250,200609,1327,80639.0
412260,200609,431,18675.0
412265,200609,519,29133.0
412270,200609,275,11240.0
412280,200609,511,33909.0
412290,200609,605,36310.0
412300,200609,1031,57551.0
412310,200609,343,19495.0
412320,200609,299,13917.0
412330,200609,718,39833.0
412340,200609,385,15870.0
412350,200609,1157,58734.0
412360,200609,140,6478.0
412370,200609,368,16589.0
412380,200609,825,47436.0
412382,200609,316,17955.0
412385,200609,1072,71397.0
412390,200609,1024,50840.0
412395,200609,278,15223.0
412400,200609,559,33152.0
412402,200609,603,31347.0
412405,200609,835,39593.0
412410,200609,2326,109207.0
412420,200609,234,10482.0
412430,200609,194,9052.0
412440,200609,1573,94532.0
412450,200609,311,14804.0
412460,200609,348,14945.0
412470,200609,1274,82921.0
412480,200609,646,33432.0
412490,200609,507,28086.0
412500,200609,739,38197.0
412510,200609,1143,62653.0
412520,200609,671,40304.0
412530,200609,293,12939.0
412535,200609,409,18154.0
412540,200609,661,35960.0
412545,200609,352,18916.0
412550,200609,6265,342640.0
412555,200609,111,4325.0
412560,200609,2291,138084.0
412570,200609,1280,61350.0
412575,200609,455,25296.0
412580,200609,530,24041.0
412590,200609,165,7266.0
412600,200609,508,26053.0
412610,200609,323,15803.0
412620,200609,678,36839.0
412625,200609,3933,208977.0
412627,200609,256,16061.0
412630,200609,1394,77336.0
412635,200609,253,14873.0
412640,200609,427,16391.0
412650,200609,844,53559.0
412660,200609,1101,51466.0
412665,200609,264,14552.0
412667,200609,748,39957.0
412670,200609,275,12240.0
412680,200609,516,24742.0
412690,200609,312,12576.0
412700,200609,602,38066.0
412710,200609,3528,179704.0
412720,200609,573,24006.0
412730,200609,889,39281.0
412740,200609,1067,42313.0
412750,200609,1297,68634.0
412760,200609,1022,53575.0
412770,200609,4018,186595.0
412780,200609,899,48362.0
412785,200609,1068,62853.0
412788,200609,338,18313.0
412790,200609,672,30572.0
412795,200609,599,30735.0
412796,200609,1411,97253.0
412800,200609,1367,70543.0
412810,200609,3767,165030.0
412820,200609,2156,120198.0
412830,200609,137,5721.0
412840,200609,826,43846.0
412850,200609,1380,74633.0
412853,200609,665,36362.0
412855,200609,714,34054.0
412860,200609,495,29131.0
412862,200609,305,15799.0
412863,200609,639,40764.0
412865,200609,214,13324.0
412870,200609,394,27800.0
412880,200609,493,22432.0
420005,200609,150,9306.0
420010,200609,1094,70644.0
420020,200609,304,15112.0
420030,200609,114,4714.0
420040,200609,323,18429.0
420050,200609,238,15653.0
420055,200609,85,5032.0
420060,200609,147,6253.0
420070,200609,326,15615.0
420075,200609,50,2152.0
420080,200609,328,17105.0
420090,200609,269,13364.0
420100,200609,678,40154.0
420110,200609,183,10580.0
420120,200609,111,5222.0
420125,200609,209,11881.0
420127,200609,129,6699.0
420130,200609,813,51240.0
420140,200609,1792,88975.0
420150,200609,175,8399.0
420160,200609,74,3212.0
420165,200609,92,5315.0
420170,200609,92,3430.0
420180,200609,114,5126.0
420190,200609,142,7142.0
420195,200609,324,19378.0
420200,200609,842,39961.0
420205,200609,258,15006.0
420207,200609,292,15658.0
420208,200609,240,16853.0
420209,200609,135,8279.0
420210,200609,450,19347.0
420213,200609,346,22190.0
420215,200609,154,8232.0
420220,200609,162,6946.0
420230,200609,1024,58594.0
420240,200609,2127,115623.0
420243,200609,166,8444.0
420245,200609,194,9107.0
420250,200609,302,14349.0
420253,200609,147,9534.0
420257,200609,180,7869.0
420260,200609,369,24054.0
420270,200609,19,910.0
420280,200609,500,24424.0
420285,200609,79,3954.0
420287,200609,260,18906.0
420290,200609,777,45729.0
420300,200609,1734,91022.0
420310,200609,249,15176.0
420315,200609,216,13296.0
420320,200609,1083,61480.0
420325,200609,209,10805.0
420330,200609,397,23315.0
420340,200609,453,25825.0
420350,200609,664,48103.0
420360,200609,1370,73462.0
420370,200609,236,10902.0
420380,200609,1986,109161.0
420390,200609,541,27611.0
420395,200609,575,33290.0
420400,200609,310,17319.0
420410,200609,270,17482.0
420415,200609,182,10594.0
420417,200609,254,18396.0
420419,200609,105,6557.0
420420,200609,4691,287402.0
420425,200609,219,9896.0
420430,200609,1618,97030.0
420435,200609,58,3536.0
420440,200609,372,21923.0
420445,200609,143,9513.0
420450,200609,271,12747.0
420455,200609,659,37797.0
420460,200609,3254,170566.0
420470,200609,409,22188.0
420475,200609,64,3846.0
420480,200609,1582,83351.0
420490,200609,295,18165.0
420500,200609,904,60981.0
420510,200609,127,5400.0
420515,200609,22,1135.0
420517,200609,288,20812.0
420519,200609,91,5008.0
420520,200609,172,10370.0
420530,200609,398,21683.0
420535,200609,79,5201.0
420540,200609,5398,318524.0
420543,200609,119,8918.0
420545,200609,352,18937.0
420550,200609,1063,67438.0
420555,200609,160,11552.0
420560,200609,225,14074.0
420570,200609,493,24731.0
420580,200609,442,27702.0
420590,200609,650,36906.0
420600,200609,308,14452.0
420610,200609,131,6030.0
420620,200609,356,15932.0
420630,200609,223,11413.0
420640,200609,282,15864.0
420650,200609,321,17738.0
420660,200609,221,14163.0
420665,200609,236,14717.0
420670,200609,651,32978.0
420675,200609,74,4337.0
420680,200609,142,7218.0
420690,200609,278,12926.0
420700,200609,1227,49479.0
420710,200609,217,10234.0
420720,200609,915,47554.0
420730,200609,1352,65380.0
420740,200609,156,9437.0
420750,200609,549,29323.0
420757,200609,16,550.0
420760,200609,154,9452.0
420765,200609,226,10878.0
420768,200609,597,43575.0
420770,200609,233,11461.0
420775,200609,262,17769.0
420780,200609,508,28031.0
420785,200609,92,6020.0
420790,200609,416,24122.0
420800,200609,214,10397.0
420810,200609,1024,61362.0
420820,200609,2641,147237.0
420830,200609,643,30362.0
420840,200609,287,17146.0
420845,200609,300,15128.0
420850,200609,474,25912.0
420860,200609,132,6869.0
420870,200609,479,25649.0
420880,200609,517,22840.0
420890,200609,1137,56765.0
420895,200609,84,4085.0
420900,200609,622,28962.0
420910,200609,7089,388092.0
420915,200609,339,20493.0
420917,200609,105,6599.0
420920,200609,37,1486.0
420930,200609,5485,339164.0
420940,200609,1978,116195.0
420945,200609,73,4505.0
420950,200609,111,4227.0
420960,200609,420,17676.0
420970,200609,679,39194.0
420980,200609,167,10172.0
420985,200609,148,7621.0
420990,200609,208,9214.0
421000,200609,107,4624.0
421003,200609,118,5317.0
421005,200609,101,5720.0
421010,200609,1665,97854.0
421020,200609,183,7818.0
421030,200609,471,29803.0
421040,200609,249,10150.0
421050,200609,505,24741.0
421055,200609,100,5242.0
421060,200609,163,7288.0
421070,200609,234,14640.0
421080,200609,194,8853.0
421085,200609,67,4044.0
421090,200609,117,6226.0
421100,200609,437,25703.0
421105,200609,461,24807.0
